case,pixel,rmse,correlation
non_fire_2,84493821,0.08573401277698732,0.6550435871137484
storm_1,73572103,0.11517977672115419,0.8993690482854998
storm_1,73572104,0.07489128550125235,0.9566512872818588
storm_1,73577619,0.06599573978251,0.9492672896761036
storm_1,73577620,0.08743002906246072,0.9198590739488172
storm_1,73577621,0.13129800660718827,0.8445746640218759
storm_1,73577622,0.12921788999483816,0.8582256074745575
storm_1,73577623,0.1034960471784135,0.9073502684465637
storm_1,73577624,0.12572785478122744,0.8768642529120536
storm_1,73577625,0.0692832586466716,0.9622948225503078
storm_1,73583019,0.07958257312074928,0.9264422940304812
storm_1,73583020,0.10592465493859583,0.9074444341228571
storm_1,73583021,0.12163720436471279,0.8873743720355174
storm_2,73583023,0.10744912711258668,0.9017359127940817
storm_2,73583024,0.11879052852533803,0.8873633499357518
storm_2,73583025,0.06711119176343862,0.9598039139417255
storm_2,73588383,0.10195701736227812,0.883918138788411
storm_2,73588384,0.10773122991652669,0.8915185058767315
storm_2,73588385,0.11807323486139626,0.8947267003525037
storm_2,73588386,0.13547773523234255,0.8703950557049769
storm_2,73588387,0.10082183710600172,0.9099369943226541
storm_2,73588388,0.10164330372710109,0.8858764316309407
storm_2,73588389,0.0692584187953938,0.9520778366521692
storm_2,73593811,0.086424669402754,0.9177764626956123
storm_2,73593812,0.10456086247775152,0.8731326498196876
drought_1,426031,0.041724091286013294,0.9579280154497021
drought_1,426032,0.041581577664974244,0.9658820164767731
drought_1,427000,0.04443826671190256,0.9354618582492522
drought_1,427001,0.04525483188493224,0.9502719736385891
drought_1,427002,0.043318893592554954,0.9586540804055946
drought_1,427003,0.043047957557807597,0.9564824081793796
drought_1,427004,0.0430935751959157,0.952941159108675
drought_1,427005,0.03963778457571088,0.9627018318359528
drought_1,427006,0.04092551124822888,0.9574186181460567
drought_1,427957,0.046760237993860525,0.9314844579740515
drought_1,427958,0.04465457038400745,0.9532681637460102
drought_1,427959,0.04465557730790916,0.9566098873476118
drought_2,427961,0.0423700422105629,0.9541005298909024
drought_2,427962,0.04396410433792869,0.9502708914990088
drought_2,427963,0.043150930920998,0.94038643483108
drought_2,428932,0.04551913421285436,0.9321858044082504
drought_2,428933,0.04297020499578909,0.9436604797215077
drought_2,428934,0.043895909047803924,0.9532181464296545
drought_2,428935,0.04277577791437234,0.9524680014451898
drought_2,428936,0.042464593303918476,0.9538344832929063
drought_2,428937,0.043409922457282556,0.9510145310176128
drought_2,428938,0.0459817899364095,0.9347616192196196
drought_2,429864,0.044599422350371246,0.9241994134717828
drought_2,429865,0.040041328258731725,0.9321366561627009
